,Sr No,startup,vertical,city,investors,round,amount,year,state
4120,4121,MyClassboard,EdTech,Hyderabad,ICICI Bank.,Undisclosed,498.0,2020,Telangana
4121,4122,Myelin Foundry,IT,Bengaluru,Pratithi,Undisclosed,0.0,2020,Karnataka
4122,4123,MyGlamm,Personal Care,Mumbai,Bessemer Venture Partners,Undisclosed,83.0,2020,Maharashtra
4123,4124,MyGlamm,Personal Care,Mumbai,"Tano India, L’Occitane, Bessemer",Undisclosed,35.0,2020,Maharashtra
4124,4125,MyKaam,Careers,Bengaluru,"Dr Apoorva Ranjan Sharma, Mrunal Jhaveri, Nirav Panchmatia, Vikas Kapoor, Karan Garg",Undisclosed,0.0,2020,Karnataka
4125,4126,MySUN,Energy,Noida,Undisclosed,Undisclosed,35.0,2020,Uttar Pradesh
4126,4127,NCOME,FinTech,New Delhi,"Venture Catalysts, PointOne Capital",Undisclosed,332.0,2020,Delhi
4127,4128,Near Store,E-Commerce,Mumbai,Sauce.vc,Undisclosed,2.0,2020,Maharashtra
4128,4129,Neeman,Personal Care,Hyderabad,Anicut Angel Fund,Undisclosed,8.0,2020,Telangana
4129,4130,NEETprep,EdTech,New Delhi,IndiaQuotient,Undisclosed,0.0,2020,Delhi
4130,4131,NeoDocs,Aerospace,Mumbai,9Unicorns Accelerator Fund,Undisclosed,0.0,2020,Maharashtra
4131,4132,Nepra,AgriTech,Ahmedabad,Titan Capital,Undisclosed,8.0,2020,Gujarat
4132,4133,New Delhivery,Logistics,Gurugram,"Steadview Capital, Canada Pension Plan Investment Board",Undisclosed,1743.0,2020,Haryana
4133,4134,News Reach,Media,Ahmedabad,Mumbai Angels Network,Undisclosed,0.0,2020,Gujarat
4134,4135,NewsBytes,Media,Gurugram,North Base Media,Undisclosed,12.0,2020,Haryana
4135,4136,NewsReach,Media,Ahmedabad,"Mumbai Angels, JITO Angel Network.",Undisclosed,124.0,2020,Gujarat
4136,4137,Newton School,Event Management,Bengaluru,Nexus Venture Partners,Undisclosed,54.0,2020,Karnataka
4137,4138,Nimesa,AI,Bengaluru,Ideaspring capital,Undisclosed,0.0,2020,Karnataka
4138,4139,Ninjacart,AgriTech,Bengaluru,"Tiger Global Management, Sequoia Capital India",Undisclosed,8300.0,2020,Karnataka
4139,4140,Ninjacart,AgriTech,Bengaluru,"Flipkart India, Singapore-based GEC3",Undisclosed,8.0,2020,Karnataka
4140,4141,NIRA,Finance,Bengaluru,"Techstars Bangalore Accelerator, Techstars",Undisclosed,83.0,2020,Karnataka
4141,4142,NIRA,Finance,Bengaluru,Angel investors,Undisclosed,17.0,2020,Karnataka
4142,4143,NirogStreet,Healthcare,Gurugram,"Sriharsha Majety, Rahul Jaimini",Undisclosed,0.0,2020,Haryana
4143,4144,Nium,FinTech,Mumbai,"VisaVentures, BRI Ventures",Undisclosed,0.0,2020,Maharashtra
4144,4145,NoBroker,Consumer Internet,Bengaluru,General Atlantic,Undisclosed,246.0,2020,Karnataka
4145,4146,NOTO,Food,Mumbai,WEH Ventures,Undisclosed,0.0,2020,Maharashtra
4146,4147,NuNu TV,Media,New Delhi,Risers Accelerators,Undisclosed,5.0,2020,Delhi
4147,4148,Nupay,FinTech,Gurugram,Venture Catalysts,Undisclosed,0.0,2020,Haryana
4148,4149,Nutrova,Healthcare,Mumbai,DSG Consumer Partners,Undisclosed,0.0,2020,Maharashtra
4149,4150,NWNT (No Worry No Tension Healthcare),Healthcare,New Delhi,Amit Burman,Undisclosed,0.0,2020,Delhi
4150,4151,Nykaa,Consumer Internet,Mumbai,"Nexus Venture Partners, Capria Ventures",Undisclosed,915.0,2020,Maharashtra
4151,4152,Nykaa,Consumer Internet,Mumbai,Steadview Capital,Undisclosed,204.0,2020,Maharashtra
4152,4153,Nykaa,Consumer Internet,Mumbai,Steadview capital,Undisclosed,108.0,2020,Maharashtra
4153,4154,Nykaa,Consumer Internet,Mumbai,Steadview capital,Undisclosed,72.0,2020,Maharashtra
4154,4155,Nykaa,Consumer Internet,Mumbai,"Alia Bhatt, Katrina Kaif",Undisclosed,0.0,2020,Maharashtra
4155,4156,OckyPocky,EdTech,Haryana,"SucSEED Venture Partners, ah! Ventures",Undisclosed,33.0,2020,Haryana
4156,4157,Oda Class,EdTech,Bengaluru,Yuanfudao,Undisclosed,0.0,2020,Karnataka
4157,4158,Odwen,AgriTech,Noida,Prospect Partners.,Undisclosed,5.0,2020,Uttar Pradesh
4158,4159,Oga Fit,Healthcare,Bengaluru,"Sanjay Ramakrishnan, Ravi Garikipati",Undisclosed,25.0,2020,Karnataka
4159,4160,Oga Fit,Healthcare,Bengaluru,"Inflection Point Ventures, Mitesh Shah",Undisclosed,17.0,2020,Karnataka
4160,4161,Oga Fit,Healthcare,Bengaluru,Inflection Point Ventures,Undisclosed,3.0,2020,Karnataka
4161,4162,Ola,Transportation,Bengaluru,Matrix Partners,Undisclosed,221.0,2020,Karnataka
4162,4163,Ola,Transportation,Bengaluru,Pawan Munjal Family Trust Fund,Undisclosed,8.0,2020,Karnataka
4163,4164,OM Bhakti,E-Commerce,Bengaluru,Venture Catalysts,Undisclosed,0.0,2020,Karnataka
4164,4165,Omatra Hotels,Hospitality,Kolkata,Capify,Undisclosed,0.0,2020,West Bengal
4165,4166,OneCode,E-Commerce,Gurugram,WaterBridge Ventures,Undisclosed,166.0,2020,Haryana
4166,4167,Onsitego,Services,Mumbai,"Accel, Zodius Capital",Undisclosed,2499.0,2020,Maharashtra
4167,4168,Onsitego,Services,Mumbai,Zodius Growth Fund,Undisclosed,156.0,2020,Maharashtra
4168,4169,OpenApp,Software,Bengaluru,Unicorn India Ventures,Undisclosed,4.0,2020,Karnataka
4169,4170,Origa,E-Commerce,Andheri,"500 Startups, ah! Ventures",Undisclosed,166.0,2020,Maharashtra
4170,4171,Origo Commodities India Pvt. Ltd,AgriTech,Gurugram,"Rajasthan Venture Capital Fund, AIM Smart City",Undisclosed,42.0,2020,Haryana
4171,4172,Otipy,E-Commerce,New Delhi,Inflection Point Ventures,Undisclosed,83.0,2020,Delhi
4172,4173,OurEye.ai,Food,Bengaluru,"100X VC, Amara Ventures",Undisclosed,99.0,2020,Karnataka
4173,4174,Oye! Rickshaw,Transportation,New Delhi,Chiratae Ventures,Undisclosed,82.0,2020,Delhi
4174,4175,Oziva,Personal Care,Mumbai,Matrix Partners,Undisclosed,41.0,2020,Maharashtra
4175,4176,PadCare Labs,Healthcare,Pune,Venture Center,Undisclosed,0.0,2020,Maharashtra
4176,4177,PagarBook,FinTech,Bengaluru,"Sequoia Capital, India Quotient",Undisclosed,1249.0,2020,Karnataka
4177,4178,PakkaProfile,Social Media,Bengaluru,"NABVENTURES, Omnivore",Undisclosed,83.0,2020,Karnataka
4178,4179,Pando,Logistics,Chennai,Chiratae ventures,Series A,74.25,2020,Tamil Nadu
4179,4180,Pando,Logistics,Chennai,Chiratae Ventures,Undisclosed,9.0,2020,Tamil Nadu
4180,4181,Pandorum,BioTech,Bengaluru,"021 Capital, Karnataka Information Technology Venture Capital Fund",Undisclosed,420.0,2020,Karnataka
4181,4182,Paper Boat,Food,Bengaluru,"Advent Management, A91 Emerging Fund, Trifecta Venture",Undisclosed,33.0,2020,Karnataka
4182,4183,Paper Boat,Food,Gurugram,"Sofina Ventures, A91 Emerging fund, SCI Growth Investment II, Catamarann Ventures",Undisclosed,30.0,2020,Haryana
4183,4184,Pariksha,EdTech,Pune,"INSEAD Angels, IIT Kanpur Angels, Sixth Sense Ventures, Saahil Bhatia",Undisclosed,0.0,2020,Maharashtra
4184,4185,Park+,Food,Gurugram,"Sequoia Capital, Matrix Partners India",Undisclosed,8.0,2020,Haryana
4185,4186,ParkSmart,Transportation,New Delhi,Ah! Ventures,Undisclosed,2.0,2020,Delhi
4186,4187,PayMart,FinTech,Chandigarh,"IIM Ahmedabad’s incubator (CIIE.CO),Chandigarh Angels Network",Undisclosed,0.0,2020,Chandigarh
4187,4188,Paytm,E-Commerce,Bengaluru,One97 Communications,Undisclosed,46.0,2020,Karnataka
4188,4189,Pedagogy,EdTech,Ahmedabad,Inflection Point Ventures,Undisclosed,3.0,2020,Gujarat
4189,4190,Peel Works,Logistics,Mumbai,CESC Ventures,Undisclosed,0.35,2020,Maharashtra
4190,4191,Peel-Works,Logistics,Mumbai,Lightspeed India,Undisclosed,290.0,2020,Maharashtra
4191,4192,Pepperfry,Content Creation,Mumbai,"Tiger Global Management, William Bissell",Undisclosed,415.0,2020,Maharashtra
4192,4193,Pepperfry,E-Commerce,Mumbai,Pidilite Industries,Undisclosed,328.0,2020,Maharashtra
4193,4194,Pepperfry,Healthcare,Mumbai,"Kunal Bahl, Rohit Bansal",Undisclosed,3.0,2020,Maharashtra
4194,4195,Peppermint,E-Commerce,Mumbai,"Venture Catalysts, Naveen Kshatriya,",Undisclosed,0.0,2020,Maharashtra
4195,4196,Pesto,Healthcare,New Delhi,"Digital Finance Group, FundersClub",Undisclosed,0.0,2020,Delhi
4196,4197,PetPooja,Pet Care,Ahmedabad,Udaan,Undisclosed,16.0,2020,Gujarat
4197,4198,Phable,Healthcare,Bengaluru,Inflection Point Ventures,Undisclosed,8.0,2020,Karnataka
4198,4199,Phenom People,HR Tech,Hyderabad,WestBridge Capital,Undisclosed,22.0,2020,Telangana
4199,4200,Phone Pe,FinTech,Bengaluru,Flipkart,Undisclosed,191.0,2020,Karnataka
4200,4201,Phone Pe,FinTech,Bengaluru,"Flipkart, Walmart",Undisclosed,83.0,2020,Karnataka
4201,4202,Phone Pe,FinTech,Bengaluru,Accelerator MOX,Undisclosed,0.0,2020,Karnataka
4202,4203,Phool.co,Technology,Kanpur,Kaplan Foundation,Undisclosed,35.0,2020,Uttar Pradesh
4203,4204,Pickright Technologies,FinTech,Bengaluru,"Sanjay Mehta, Vikram Pandya, Gaurav Gupta, Vivel Srivatsav, Madhavi Bollipalli, Srinivas Paanem, Satish Bogullu",Undisclosed,1.0,2020,Karnataka
4204,4205,Pickrr,Logistics,New Delhi,Swastika,Undisclosed,1665.0,2020,Delhi
4205,4206,Picxy,Internet,Hyderabad,"FirstCheque, Angellist India, Aakrit Vaish, Ranjith Radhakrishnan",Undisclosed,2.0,2020,Telangana
4206,4207,Piggy Ride,Transportation,Bengaluru,"JAFCO Asia, Artha Venture Fund",Undisclosed,15.0,2020,Karnataka
4207,4208,Pine Labs,FinTech,Noida,Mastercard,Undisclosed,0.0,2020,Uttar Pradesh
4208,4209,Pitstop,Consumer Internet,Bengaluru,"Clairvest Group, Ontario Centres of Excellence",Undisclosed,84.0,2020,Karnataka
4209,4210,Pitstop,Consumer Internet,Bengaluru,TPG-backed Group Landmark,Undisclosed,21.0,2020,Karnataka
4210,4211,Pixr10,Media,Ghaziabad,"Lightspeed India Partners, Blume Ventures, GrowX ventures",Undisclosed,41.0,2020,Uttar Pradesh
4211,4212,PlanetSpark,EdTech,Gurugram,"Indian Angel Network, Lead Angels, Hyderabad Angels",Undisclosed,4.0,2020,Haryana
4212,4213,PlayerzPot,FinTech,Mumbai,"Venture Catalysts, SOSV",Undisclosed,83.0,2020,Maharashtra
4213,4214,Plop,Food,Mumbai,"Better Capital, LetsVenture, Rohit Chanana, Jayant Kadambi, Sunil Kumar Singhvi",Undisclosed,0.0,2020,Maharashtra
4214,4215,Plum,Healthcare,Bengaluru,"Surge, Tanglin Venture Partners",Undisclosed,340.0,2020,Karnataka
4215,4216,Plum,Healthcare,Thane,"Ronald Conway, Bay Partners",Undisclosed,10.0,2020,Maharashtra
4216,4217,Plum,Healthcare,Bengaluru,Incubate Fund,Undisclosed,8.0,2020,Karnataka
4217,4218,Pocket FM,Entertainment,Bengaluru,"RPSG Ventures, Amicus Capital",Undisclosed,415.0,2020,Karnataka
4218,4219,Pocket FM,Entertainment,Bengaluru,Gameskraft,Undisclosed,14.0,2020,Karnataka
4219,4220,Portea Medical,Healthcare,Bengaluru,Lightstone Global Funds,Undisclosed,151.0,2020,Karnataka
4220,4221,Postman,Software,Bengaluru,Insight Partners,Undisclosed,1230.0,2020,Karnataka
4221,4222,Power Gummies,Healthcare,New Delhi,Venture Catalysts,Undisclosed,0.0,2020,Delhi
4222,4223,PratiLipi,Consumer Internet,Bengaluru,Tencent,Undisclosed,77.0,2020,Karnataka
4223,4224,Pravasirojgar,Careers,Mumbai,GoodWorker.,Undisclosed,2749.0,2020,Maharashtra
4224,4225,Prayaan Capital,FinTech,Chennai,Accion Venture Lab,Undisclosed,10.0,2020,Tamil Nadu
4225,4226,Precily,Social Media,Bengaluru,"Windrose Capital, Anil Advani",Undisclosed,0.0,2020,Karnataka
4226,4227,Prescinto,Logistics,Ahmedabad,"Startup incubator, Accelerator Venture Catalysts",Undisclosed,0.0,2020,Gujarat
4227,4228,Prescribe,SaaS,Chennai,"Jonathan Swanson, Ankush Gera",Undisclosed,0.0,2020,Tamil Nadu
4228,4229,Pristyn Care,Healthcare,Gurugram,"Sequoia Capital India, Hummingbird Ventures",Undisclosed,915.0,2020,Haryana
4229,4230,Probus Smart Things,Food,New Delhi,Unicorn India Ventures,Undisclosed,0.0,2020,Delhi
4230,4231,Procol,Logistics,New Delhi,Sequoia Surge,Undisclosed,31.0,2020,Delhi
4231,4232,ProEves,Healthcare,New Delhi,1Crowd,Undisclosed,0.0,2020,Delhi
4232,4233,Prolixr,EdTech,Gurugram,"Alfa Ventures, Divij Bajaj",Undisclosed,0.0,2020,Haryana
4233,4234,ProPhysio,Healthcare,Bengaluru,Nestavera Ventures.,Undisclosed,1.0,2020,Karnataka
4234,4235,Protinus Fashion Social Media Pvt Ltd,Personal Care,Mumbai,SucSEED Ventures,Undisclosed,0.0,2020,Maharashtra
4235,4236,Public,Sports,New Delhi,"Triodos, Caspian",Undisclosed,249.0,2020,Delhi
4236,4237,Pulse,FinTech,Mumbai,Undisclosed,Undisclosed,62.0,2020,Maharashtra
4237,4238,PumPumPum,E-Commerce,Gurugram,Undisclosed,Undisclosed,30.0,2020,Haryana
4238,4239,PumPumPum,E-Commerce,Gurugram,LetsVenture Syndicate,Undisclosed,2.0,2020,Haryana
4239,4240,PurohitJi,Services,Bengaluru,Bhadresh,Undisclosed,0.0,2020,Karnataka
4240,4241,Purple Style Labs,EdTech,Mumbai,"Jitendra Gupta, Astarc Ventures.",Undisclosed,7.0,2020,Maharashtra
4241,4242,Purplle,E-Commerce,Mumbai,Verlinvest,Undisclosed,1.0,2020,Maharashtra
4242,4243,Qapita,Entertainment,Hyderabad,"Alto Partners, Mission Holdings",Undisclosed,166.0,2020,Telangana
4243,4244,Qin1,AI,Noida,Venture Catalysts,Undisclosed,0.0,2020,Uttar Pradesh
4244,4245,QShala,EdTech,Bengaluru,Undisclosed,Undisclosed,25.0,2020,Karnataka
4245,4246,QTalk,Communication,Bengaluru,"Accel India, Lightspeed Venture Partners",Undisclosed,13.0,2020,Karnataka
4246,4247,QuaQua,AgriTech,Hyderabad,Anthill Ventures,Undisclosed,8.0,2020,Telangana
4247,4248,Quicko,FinTech,Ahmedabad,"Zerodha fintech fund, Rainmatter",Undisclosed,0.0,2020,Gujarat
4248,4249,Quintype Technologies,Data Analytics,Bengaluru,IIFL AMC,Undisclosed,291.0,2020,Karnataka
4249,4250,Quintype Technologies,Data Analytics,Bengaluru,"IIFL Asset Management, Raghav Bahl",Undisclosed,3.0,2020,Karnataka
4250,4251,Qure ai,Healthcare,Mumbai,Sequoia India,Undisclosed,131.0,2020,Maharashtra
4251,4252,Qyuki,Media,Mumbai,Info Edge Venture Fund,Undisclosed,29.0,2020,Maharashtra
4252,4253,qZense,AgriTech,Bengaluru,"Venture Catalysts, 9Unicorns Accelerator Fund",Undisclosed,498.0,2020,Karnataka
4253,4254,RACEnergy,AgriTech,Hyderabad,"GrowX ventures, Prophetic Ventures",Undisclosed,0.0,2020,Telangana
4254,4255,Rage Coffee,Food,New Delhi,Refex Capital,Undisclosed,0.0,2020,Delhi
4255,4256,Railofy,Logistics,Mumbai,Oaks Asset Management,Undisclosed,374.0,2020,Maharashtra
4256,4257,Railofy,Logistics,Mumbai,Chiratae Ventures.,Undisclosed,75.0,2020,Maharashtra
4257,4258,RailYatri,Travel,Noida,"Nandan Nilekani, Samsung Venture Investment Corporation",Undisclosed,113.0,2020,Uttar Pradesh
4258,4259,Rapawalk,Sports,Bengaluru,"Better Capital, Gunosy",Undisclosed,415.0,2020,Karnataka
4259,4260,Rare Planet,E-Commerce,Kolkata,"Sujeet Kumar, Hemesh Singh",Undisclosed,33.0,2020,West Bengal
4260,4261,Rare Planet,E-Commerce,Kolkata,"Riso Investments, Lenskart",Undisclosed,0.0,2020,West Bengal
4261,4262,Raskik,AgriTech,Hyderabad,"Venture Catalysts, 9Unicorns",Undisclosed,83.0,2020,Telangana
4262,4263,Razorpay,FinTech,Bengaluru,"Stride Ventures, YourNest Venture Capital",Undisclosed,249.0,2020,Karnataka
4263,4264,Rebel Foods,Food,Mumbai,Coatue Management,Undisclosed,415.0,2020,Maharashtra
4264,4265,Rebel Foods,Food,Mumbai,Coatue Management,Undisclosed,410.0,2020,Maharashtra
4265,4266,Rebel Foods,Food,Mumbai,Coatue Management,Undisclosed,217.0,2020,Maharashtra
4266,4267,Rebel Foods,Food,Mumbai,Alteria Capital,Undisclosed,40.0,2020,Maharashtra
4267,4268,Recko,FinTech,Bengaluru,Vertex Ventures,Undisclosed,49.0,2020,Karnataka
4268,4269,Recordent,Entertainment,Hyderabad,Undisclosed,Undisclosed,0.0,2020,Telangana
4269,4270,Refrens,FinTech,Bengaluru,"Vijay Shekhar Sharma, Anupam Mittal",Undisclosed,8.0,2020,Karnataka
4270,4271,Reliance Retail Ventures,Services,Mumbai,"General Atlantic, Kohlberg Kravis Roberts",Undisclosed,6640.0,2020,Maharashtra
4271,4272,Reliance Retail Ventures,Services,Mumbai,"Accel, Steadview Capital",Undisclosed,4565.0,2020,Maharashtra
4272,4273,Reliance Retail Ventures,Services,Mumbai,Silver Lake Partners,Undisclosed,844.0,2020,Maharashtra
4273,4274,Reliance Retail Ventures,Services,Mumbai,"Lightspeed, Elevation, Deepika Padukone",Undisclosed,266.0,2020,Maharashtra
4274,4275,Remedo,Healthcare,Bengaluru,River Rock Ventures. Inflection Point Ventures,Undisclosed,0.0,2020,Karnataka
4275,4276,ReNEWate,Technology,Pune,"Rohit Bansal, Rohan Ranavat",Undisclosed,0.0,2020,Maharashtra
4276,4277,Rentmojo,Consumer Internet,Bengaluru,"Chiratae Ventures, Accel Partners, BCIP Venture Associates, Bain Capital, Renaud Laplanche",Undisclosed,26.0,2020,Karnataka
4277,4278,Rentmojo,Consumer Internet,Bengaluru,"Gautam Dalmia, Pratithi Investment Trust, Shri Investment",Undisclosed,24.0,2020,Karnataka
4278,4279,Rentomojo,Consumer Internet,Bengaluru,GMO Payment Gateway,Undisclosed,2.0,2020,Karnataka
4279,4280,Rephrase.ai,AI,Bengaluru,"Techstars Bengaluru Accelerator, Techstars",Undisclosed,124.0,2020,Karnataka
4280,4281,Ripsey,E-Commerce,Mumbai,Ah! Ventures,Undisclosed,1.0,2020,Maharashtra
4281,4282,Riskcovry,FinTech,Mumbai,"Bharat Inclusion Seed Fund, Varanium Capital, and Better Capital",Undisclosed,0.0,2020,Maharashtra
4282,4283,Rivigo,Logistics,Gurugram,"Elevation Capital, Trifecta Capital Advisors",Undisclosed,1574.0,2020,Haryana
4283,4284,Rivigo,Logistics,Gurugram,Trifecta Capital,Undisclosed,3.0,2020,Haryana
4284,4285,RoomSoom,Real Estate,Noida,Mumbai Angels Network,Undisclosed,0.0,2020,Uttar Pradesh
4285,4286,Rooter,Sports,New Delhi,"Paytm, leAD Sports, Rockstud Capital, Founder Bank Capital",Undisclosed,14.0,2020,Delhi
4286,4287,Routematic,Logistics,Bengaluru,HeroMotoCorp Ltd and Sachin Bansal,Undisclosed,2900.0,2020,Karnataka
4287,4288,Rupeek,FinTech,Bengaluru,"KB Investment, Bertelsmann India Investments",Undisclosed,3735.0,2020,Karnataka
4288,4289,Rupeek,FinTech,Bengaluru,"GGV Capital, Bertelsmann India Investments, Binny Bansal, Sequoia India, Accel Partners",Undisclosed,246.0,2020,Karnataka
4289,4290,Rupifi,Food,Bengaluru,"Ashneer Grover, Kunal Shah, Ramakant Sharma",Undisclosed,0.0,2020,Karnataka
4290,4291,RuralBasket,Food,Tirunelveli,Nativelead Foundation,Undisclosed,42.0,2020,Tamil Nadu
4291,4292,Rusk Media,Healthcare,New Delhi,"InfoEdge Venture Fund, Sprout Venture Partners",Undisclosed,0.0,2020,Delhi
4292,4293,Sabse,E-Commerce,Mumbai,Angel investors,Undisclosed,0.0,2020,Maharashtra
4293,4294,Salesken,Consumer Internet,Bengaluru,Sequoia India,Undisclosed,66.0,2020,Karnataka
4294,4295,Samadhan,Healthcare,New Delhi,Venture Catalysts,Undisclosed,0.0,2020,Delhi
4295,4296,Samosa Party,E-Commerce,Bengaluru,Inflection Point Ventures,Undisclosed,0.0,2020,Karnataka
4296,4297,Samosa Singh,Food,Bengaluru,She Capital,Undisclosed,2.0,2020,Karnataka
4297,4298,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Chennai,"responsAbility, Accel",Undisclosed,1665.0,2020,Tamil Nadu
4298,4299,Samya AI,AI,Hyderabad,Sequoia India,Undisclosed,1.0,2020,Telangana
4299,4300,Sanfe,Healthcare,New Delhi,"SucSEED Venture Partners, BIRAC, Elixir Pharma, Titan Capital",Undisclosed,9.0,2020,Delhi
4300,4301,Sapio Analytics,Data Analytics,Mumbai,Undisclosed,Undisclosed,12.0,2020,Maharashtra
4301,4302,Sarva,Sports,Mumbai,"Mantra Capital, Patni Family",Undisclosed,0.0,2020,Maharashtra
4302,4303,SaScan,Healthcare,Bengaluru,Unicorn India ventures,Undisclosed,0.0,2020,Karnataka
4303,4304,Sascan Meditech pvt ltd,Healthcare,Thiruvananthapuram,Unicorn India Ventures,Undisclosed,0.0,2020,Kerala
4304,4305,Satin Creditcare,FinTech,New Delhi,Austrian Bank,Undisclosed,1.0,2020,Delhi
4305,4306,SATYA Microcapital,Finance,New Delhi,BlueOrchard Finance Limited,Undisclosed,78.72,2020,Delhi
4306,4307,Satyukt,AgriTech,Bengaluru,"Eight Roads Ventures, On Mauritius",Undisclosed,42.0,2020,Karnataka
4307,4308,SAWO Labs,Software,Mumbai,"StartupXseed Ventures, 100X.VC",Undisclosed,50.0,2020,Maharashtra
4308,4309,Seal Professional,SaaS,Bengaluru,Equanimity Ventures,Undisclosed,0.0,2020,Karnataka
4309,4310,SenseHawk,AI,Bengaluru,"Falcon Edge Capital, SAIF Partners",Undisclosed,415.0,2020,Karnataka
4310,4311,Servify,SaaS,Mumbai,"Blume Ventures, Tetrao",Undisclosed,1908.0,2020,Maharashtra
4311,4312,Servify,SaaS,Mumbai,"Blume Ventures, Tetrao",Undisclosed,944.0,2020,Maharashtra
4312,4313,Servify,SaaS,Mumbai,"Iron Pillar, Blume Ventures",Undisclosed,93.0,2020,Maharashtra
4313,4314,Servify,SaaS,Mumbai,Barkawi,Undisclosed,2.0,2020,Maharashtra
4314,4315,Settl,Real Estate,Gurugram,"Sojitz, SIG Global India Fund",Undisclosed,1.0,2020,Haryana
4315,4316,Setu,FinTech,Bengaluru,"Lightspeed Venture, Falcon Edge, Bharat Inclusive Technologies Seed Fund.",Undisclosed,117.0,2020,Karnataka
4316,4317,Shadez,Personal Care,Mumbai,Inflection Point Ventures,Undisclosed,1.0,2020,Maharashtra
4317,4318,ShareChat,Social Media,Bengaluru,"Lightspeed venture partners, saif partners",Undisclosed,3325.0,2020,Karnataka
4318,4319,ShareChat,Social Media,Bengaluru,"All About Inc, Beenext Pte Led, Beenos Asia, DG Ventures, Kanamori Assagement Singapore, Rebright Partners I, Rebright Partners II, Tetsuro Koda",Undisclosed,3.0,2020,Karnataka
4319,4320,Shiksha,EdTech,Bengaluru,Mumbai Angels Network,Undisclosed,0.0,2020,Karnataka
4320,4321,Shilpa Sciences,Healthcare,Bengaluru,"Peyush Bansal, Ritesh Malik",Undisclosed,266.0,2020,Karnataka
4321,4322,Shiprocket,Logistics,Bengaluru,"Bertelsmann India Investments, InnoVen Capital",Undisclosed,623.0,2020,Karnataka
4322,4323,Shiprocket,Logistics,Bengaluru,"Tribe Capital, Innoven Capital, BII",Undisclosed,107.0,2020,Karnataka
4323,4324,ShipsKart,HR Tech,New Delhi,Betatron,Undisclosed,415.0,2020,Delhi
4324,4325,Shipsy,Logistics,Gurugram,"DTDC, Udaan Angel Partners",Undisclosed,498.0,2020,Haryana
4325,4326,Shop101,E-Commerce,Mumbai,"Stellaris Venture Partners, Unilever Ventures, Kalaari Capital, Vy Capital",Undisclosed,32.0,2020,Maharashtra
4326,4327,ShopUp,E-Commerce,Bengaluru,Undisclosed,Undisclosed,1826.0,2020,Karnataka
4327,4328,ShopX,E-Commerce,Bengaluru,Li and Fung,Undisclosed,12.0,2020,Karnataka
4328,4329,Shuttl,Transportation,Gurugram,Susquehanna growth equity,Series C,66.4,2020,Haryana
4329,4330,Shuttl,Transportation,New Delhi,SIG Global India Fund,Undisclosed,65.0,2020,Delhi
4330,4331,Shuttl,Transportation,New Delhi,SIG Global India Fund LLP.,Undisclosed,1.0,2020,Delhi
4331,4332,SignalX,FinTech,Bengaluru,"Orios Venture Partners, Matrix Partners India",Undisclosed,2075.0,2020,Karnataka
4332,4333,SignalX,FinTech,Bengaluru,Undisclosed,Undisclosed,62.0,2020,Karnataka
4333,4334,Signzy,FinTech,Bengaluru,"Stellaris Venture Partners, Mastercard",Undisclosed,249.0,2020,Karnataka
4334,4335,Signzy,FinTech,Bengaluru,"A91 Partners, RB Investments Pte. Ltd",Undisclosed,166.0,2020,Karnataka
4335,4336,Simsim,E-Commerce,Bengaluru,"Accel Partners, Shunwei Capital, Good Capital",Undisclosed,66.0,2020,Karnataka
4336,4337,Sindhuja Microcredit,Finance,Noida,Nordic Microfinance Initiative,Undisclosed,71.0,2020,Uttar Pradesh
4337,4338,SirionLabs,SaaS,Gurugram,"Tiger Global, Avatar Growth Capital",Undisclosed,361.0,2020,Haryana
4338,4339,Skilancer Solar,Energy,Noida,Venture Catalysts,Undisclosed,0.0,2020,Uttar Pradesh
4339,4340,Skylo,IoT,Bengaluru,SoftBank Group,Undisclosed,77.0,2020,Karnataka
4340,4341,Sleepy Owl Coffee,Food,New Delhi,Rukam Capital,Undisclosed,0.0,2020,Delhi
4341,4342,Slice,Entertainment,Bengaluru,Gunosy,Undisclosed,50.0,2020,Karnataka
4342,4343,Slintel,SaaS,Bengaluru,"AngelList, Investec",Undisclosed,349.0,2020,Karnataka
4343,4344,Slurrp Farm,SaaS,Gurugram,Fireside Ventures,Undisclosed,166.0,2020,Haryana
4344,4345,Smallcase,FinTech,Bengaluru,"Sequoia Capital India, Blume Ventures",Undisclosed,1111.0,2020,Karnataka
4345,4346,Smallcase,FinTech,Bengaluru,"WEH Ventures, BEENEXT",Undisclosed,0.0,2020,Karnataka
4346,4347,Smart Coin,FinTech,Bengaluru,LGT LightstoneAspada,Undisclosed,57.0,2020,Karnataka
4347,4348,SmartClean,AgriTech,Bengaluru,"Seeds Capital, AIM Smart City",Undisclosed,281.0,2020,Karnataka
4348,4349,SmarterBiz,Services,Bengaluru,"StartupXseed Ventures, Bhaskar Pramanik, MJ Aravinf, Ravi Viswanath, Ramesh Radhakrishnan, Ranjan Biswas, MJ Aniketh.",Undisclosed,9.0,2020,Karnataka
4349,4350,SmartKarrot,Food,Bengaluru,Angel investors,Undisclosed,1.0,2020,Karnataka
4350,4351,SmartVizX,Technology,Noida,Rockstud Capital,Undisclosed,11.0,2020,Uttar Pradesh
4351,4352,SMECorner,FinTech,Mumbai,Paragon Partners,Undisclosed,246.0,2020,Maharashtra
